Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1 (city),Location 1,Location 1 (state),Location 2
IDAHO,2014,7,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,1,,1,,,POINT (-114.3637261449997 43.682630058000484),IDAHO,
INDIANA,2014,7,,-,0,,2,,,-,2,,,-,2,,6,,6,,7,,,-,3,,8,,1,,10,,,POINT (-86.14995579899966 39.76691364600049),INDIANA,
UNITED STATES,2014,8,12,,29,,56,,107,,203,,16,,55,,74,,272,,419,,12,,34,,57,,136,,241,,,,,
NEW ENGLAND,2014,8,,-,2,,5,,8,,10,,,-,1,,5,,2,,8,,,-,3,,8,,5,,33,,,,,
MID. ATLANTIC,2014,8,3,,4,,12,,15,,29,,1,,4,,10,,25,,37,,2,,4,,11,,19,,31,,,,,
E.N. CENTRAL,2014,8,1,,5,,12,,17,,46,,1,,9,,15,,58,,63,,4,,7,,30,,40,,40,,,,,
W.N. CENTRAL,2014,8,,-,1,,6,,8,,6,,1,,2,,5,,9,,12,,,-,0,,5,,4,,5,,,,,
S. ATLANTIC,2014,8,4,,5,,15,,24,,40,,9,,16,,26,,95,,133,,2,,7,,21,,29,,45,,,,,
E.S. CENTRAL,2014,8,,-,1,,4,,7,,13,,2,,12,,17,,60,,91,,1,,6,,14,,24,,57,,,,,
W.S. CENTRAL,2014,8,3,,3,,6,,11,,14,,2,,5,,10,,13,,35,,1,,2,,8,,4,,7,,,,,
MOUNTAIN,2014,8,,-,2,,16,,4,,12,,,-,1,,4,,3,,14,,,-,1,,5,,3,,6,,,,,
PACIFIC,2014,8,1,,6,,18,,13,,33,,,-,3,,11,,7,,26,,2,,3,,7,,8,,17,,,,,
VERMONT,2014,8,,-,0,,2,,2,,1,,,-,0,,1,,1,,,-,,-,0,,1,,,-,1,,,POINT (-72.51763944499965 43.62538292400046),VERMONT,
WYOMING,2014,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-108.10982744299969 43.23554147100049),WYOMING,
HAWAII,2014,8,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-157.85774691599974 21.30485166200043),HAWAII,
DELAWARE,2014,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,3,,,,0,,0,,,,,,,POINT (-75.57773943699965 39.00883351400046),DELAWARE,
IOWA,2014,8,,-,0,,3,,1,,1,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,,POINT (-93.81648936699969 42.469404401000475),IOWA,
ARIZONA,2014,8,,-,1,,6,,,-,6,,,-,0,,3,,,-,6,,,,0,,0,,,,,,,POINT (-111.76380949799972 34.865973091000455),ARIZONA,
DIST. OF COL.,2014,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),DIST. OF COL.,
ILLINOIS,2014,8,,-,1,,5,,4,,9,,,-,1,,4,,1,,14,,,-,0,,4,,1,,6,,,POINT (-88.99770813999965 40.48501278700047),ILLINOIS,
INDIANA,2014,8,,-,1,,2,,1,,2,,,-,2,,6,,10,,8,,,-,3,,8,,2,,10,,,POINT (-86.14995579899966 39.76691364600049),INDIANA,
WISCONSIN,2014,8,,-,1,,3,,,-,4,,,-,0,,2,,1,,2,,,-,0,,3,,,-,6,,,POINT (-89.81636715299965 44.3931903350005),WISCONSIN,
FLORIDA,2014,8,1,,2,,7,,12,,4,,7,,6,,13,,41,,47,,2,,2,,7,,9,,15,,,POINT (-81.92895558499964 28.932042899000464),FLORIDA,
C.N.M.I.,2014,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),C.N.M.I.,
GUAM,2014,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (144.70297250000056 13.355173397000442),GUAM,
MISSISSIPPI,2014,8,,-,0,,1,,2,,1,,,-,0,,4,,3,,10,,,,0,,0,,,,,,,POINT (-89.53802764499966 32.74551123200047),MISSISSIPPI,
ALASKA,2014,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507923900048),ALASKA,
NEW YORK CITY,2014,8,3,,1,,7,,10,,11,,1,,1,,4,,7,,13,,1,,0,,1,,1,,1,,,POINT (-74.00596858999967 40.71426755700048),NEW YORK CITY,
MASSACHUSETTS,2014,8,,-,0,,3,,1,,6,,,-,1,,4,,,-,5,,,-,3,,7,,1,,30,,,POINT (-72.08268985899963 42.27687306500047),MASSACHUSETTS,
OREGON,2014,8,,-,0,,3,,2,,3,,,-,0,,4,,1,,5,,,-,0,,2,,2,,,-,,POINT (-120.15502977999972 44.567446178000466),OREGON,
TEXAS,2014,8,3,,2,,5,,10,,9,,1,,2,,7,,8,,16,,,-,0,,4,,,-,4,,,POINT (-99.4267664729997 31.827243635000457),TEXAS,
PENNSYLVANIA,2014,8,,-,1,,3,,1,,6,,,-,1,,4,,13,,10,,1,,1,,6,,10,,13,,,POINT (-77.86069775999965 40.79373106100047),PENNSYLVANIA,
NEVADA,2014,8,,-,0,,3,,1,,1,,,-,0,,3,,3,,4,,,-,0,,2,,,-,2,,,POINT (-117.07183978499972 39.49324126500045),NEVADA,
VIRGIN ISL.,2014,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),VIRGIN ISL.,
COLORADO,2014,8,,-,0,,8,,1,,4,,,-,0,,1,,,-,2,,,-,0,,1,,2,,1,,,POINT (-106.13360888799969 38.84384047000049),COLORADO,
OHIO,2014,8,,-,1,,4,,6,,15,,1,,4,,11,,43,,27,,4,,1,,24,,32,,5,,,POINT (-82.40425685299965 40.06021029700048),OHIO,
ALABAMA,2014,8,,-,0,,2,,1,,,-,,-,1,,5,,14,,12,,,-,0,,5,,3,,1,,,POINT (-86.63185803899967 32.84057327200048),ALABAMA,
ARKANSAS,2014,8,,-,0,,2,,,-,,-,,-,0,,3,,1,,10,,,-,0,,3,,,-,,-,,POINT (-92.27448794899965 34.748651751000466),ARKANSAS,
SOUTH CAROLINA,2014,8,,-,0,,1,,,-,2,,,-,1,,5,,4,,4,,,-,0,,0,,,-,,-,,POINT (-81.04536765699964 33.99882060100049),SOUTH CAROLINA,
MARYLAND,2014,8,,-,0,,4,,1,,2,,,-,1,,4,,2,,10,,,-,1,,3,,2,,12,,,POINT (-76.60925970899967 39.2905806980005),MARYLAND,
NORTH CAROLINA,2014,8,1,,0,,4,,1,,9,,,-,0,,16,,5,,7,,,-,1,,15,,10,,4,,,POINT (-79.15924924699965 35.46622388600048),NORTH CAROLINA,
MAINE,2014,8,,-,0,,2,,,-,2,,,-,0,,1,,1,,3,,,-,0,,1,,4,,2,,,POINT (-68.98502952999962 45.254228663000504),MAINE,
MONTANA,2014,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,POINT (-109.42441687999968 47.066526051000494),MONTANA,
CALIFORNIA,2014,8,,-,3,,17,,10,,26,,,-,2,,5,,4,,21,,,-,1,,5,,1,,14,,,POINT (-120.99999889499969 37.638640488000476),CALIFORNIA,
NEW MEXICO,2014,8,,-,0,,2,,1,,1,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,POINT (-106.24057768899968 34.52088247800049),NEW MEXICO,
PUERTO RICO,2014,8,,-,0,,2,,1,,1,,,-,0,,6,,,-,7,,,N,0,,0,,,N,,N,,POINT (-98.34556876399967 26.649497232000442),PUERTO RICO,
NEBRASKA,2014,8,,-,0,,2,,1,,2,,1,,0,,2,,2,,,-,,-,0,,1,,,-,,-,,POINT (-99.36571864599966 41.64104043900045),NEBRASKA,
AMER. SAMOA,2014,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),AMER. SAMOA,
LOUISIANA,2014,8,,-,0,,2,,,-,5,,,-,1,,8,,2,,7,,,-,0,,2,,,-,3,,,POINT (-92.44567554599968 31.312662564000448),LOUISIANA,
NEW JERSEY,2014,8,,-,0,,2,,2,,4,,,-,0,,3,,,-,9,,,-,0,,3,,1,,8,,,POINT (-74.27368565099965 40.1305700530005),NEW JERSEY,
WASHINGTON,2014,8,1,,0,,4,,1,,3,,,-,0,,9,,2,,,-,2,,1,,6,,5,,3,,,POINT (-120.47002746299972 47.522287905000496),WASHINGTON,
MICHIGAN,2014,8,1,,1,,7,,6,,16,,,-,1,,5,,3,,12,,,-,2,,7,,5,,13,,,POINT (-84.71438724399968 44.66131575600048),MICHIGAN,
KENTUCKY,2014,8,,-,0,,2,,2,,7,,,-,4,,8,,12,,26,,,-,4,,10,,12,,41,,,POINT (-84.77496612599964 37.645973909000475),KENTUCKY,
IDAHO,2014,8,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,1,,1,,,POINT (-114.3637261449997 43.682630058000484),IDAHO,
MINNESOTA,2014,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-94.79419697699967 46.35564867700049),MINNESOTA,
VIRGINIA,2014,8,1,,0,,3,,4,,10,,,-,1,,5,,4,,13,,,-,1,,5,,5,,1,,,POINT (-78.45788924199968 37.54268075100049),VIRGINIA,
NEW YORK,2014,8,,-,1,,5,,2,,8,,,-,1,,3,,5,,5,,,-,2,,9,,7,,9,,,POINT (-75.54396639699968 42.82700023900048),NEW YORK,
GEORGIA,2014,8,1,,1,,3,,5,,13,,2,,2,,6,,13,,20,,,-,0,,3,,1,,6,,,POINT (-83.62757601199968 32.83968004200045),GEORGIA,
CONNECTICUT,2014,8,,-,0,,3,,4,,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,POINT (-72.64983753699966 41.56266394200048),CONNECTICUT,
WEST VIRGINIA,2014,8,,-,0,,1,,1,,,-,,-,3,,8,,26,,29,,,-,0,,6,,2,,7,,,POINT (-80.71263935099967 38.665511497000466),WEST VIRGINIA,
TENNESSEE,2014,8,,-,0,,2,,2,,5,,2,,5,,11,,31,,43,,1,,2,,7,,9,,15,,,POINT (-85.77448642199965 35.680943063000484),TENNESSEE,
KANSAS,2014,8,,-,0,,3,,,-,1,,,-,0,,3,,,-,1,,,-,0,,3,,2,,1,,,POINT (-98.20077655499966 38.34774033400049),KANSAS,
RHODE ISLAND,2014,8,,-,0,,1,,1,,,-,,,0,,0,,,,,,,,0,,0,,,,,,,POINT (-71.52246918099962 41.70828281900049),RHODE ISLAND,
NEW HAMPSHIRE,2014,8,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,N,0,,0,,,N,,N,,POINT (-71.50035726399966 43.6559537330005),NEW HAMPSHIRE,
MISSOURI,2014,8,,-,0,,2,,5,,1,,,-,1,,4,,6,,9,,,-,0,,4,,2,,4,,,POINT (-92.56629737199967 38.63579372300046),MISSOURI,
NORTH DAKOTA,2014,8,,-,0,,2,,1,,1,,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,,POINT (-100.11842599699969 47.47531738700047),NORTH DAKOTA,
SOUTH DAKOTA,2014,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-100.37352811899967 44.35313342000046),SOUTH DAKOTA,
UTAH,2014,8,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,POINT (-111.5871285339997 39.36070374600047),UTAH,
OKLAHOMA,2014,8,,-,0,,4,,1,,,-,1,,0,,4,,2,,2,,1,,0,,5,,4,,,-,,POINT (-97.52106845499969 35.472034350000456),OKLAHOMA,
UNITED STATES,2014,9,8,,29,,56,,121,,232,,20,,55,,77,,312,,462,,16,,35,,55,,161,,285,,,,,
NEW ENGLAND,2014,9,,-,1,,5,,10,,10,,,-,1,,5,,4,,10,,1,,3,,8,,7,,36,,,,,
MID. ATLANTIC,2014,9,3,,4,,12,,19,,33,,5,,4,,10,,31,,41,,6,,4,,11,,26,,34,,,,,
E.N. CENTRAL,2014,9,,-,5,,12,,17,,56,,2,,9,,15,,67,,73,,2,,7,,30,,47,,47,,,,,
W.N. CENTRAL,2014,9,,-,1,,6,,8,,8,,,-,2,,5,,8,,13,,,-,0,,5,,4,,8,,,,,
S. ATLANTIC,2014,9,4,,5,,15,,28,,46,,7,,16,,26,,104,,139,,,-,7,,21,,29,,58,,,,,
E.S. CENTRAL,2014,9,1,,1,,4,,8,,13,,3,,12,,17,,66,,99,,2,,6,,14,,26,,63,,,,,
W.S. CENTRAL,2014,9,,-,3,,6,,11,,14,,,-,5,,13,,16,,38,,2,,2,,9,,8,,9,,,,,
MOUNTAIN,2014,9,,-,2,,16,,4,,14,,,-,1,,4,,3,,18,,,-,1,,5,,3,,8,,,,,
PACIFIC,2014,9,,-,6,,18,,16,,38,,3,,3,,12,,13,,31,,3,,2,,7,,11,,22,,,,,
C.N.M.I.,2014,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),C.N.M.I.,
WASHINGTON,2014,9,,-,0,,4,,1,,4,,1,,0,,9,,3,,,-,3,,1,,6,,8,,4,,,POINT (-120.47002746299972 47.522287905000496),WASHINGTON,
OKLAHOMA,2014,9,,-,0,,4,,1,,,-,,-,0,,4,,2,,3,,2,,0,,5,,6,,,-,,POINT (-97.52106845499969 35.472034350000456),OKLAHOMA,
GUAM,2014,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (144.70297250000056 13.355173397000442),GUAM,
SOUTH DAKOTA,2014,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-100.37352811899967 44.35313342000046),SOUTH DAKOTA,
HAWAII,2014,9,,-,0,,4,,,-,2,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,,POINT (-157.85774691599974 21.30485166200043),HAWAII,
MAINE,2014,9,,-,0,,2,,,-,2,,,-,0,,1,,1,,3,,1,,0,,1,,5,,2,,,POINT (-68.98502952999962 45.254228663000504),MAINE,
ARIZONA,2014,9,,-,1,,6,,,-,6,,,-,0,,3,,,-,7,,,,0,,0,,,,,,,POINT (-111.76380949799972 34.865973091000455),ARIZONA,
TEXAS,2014,9,,-,2,,5,,10,,9,,,-,2,,10,,8,,18,,,-,0,,4,,,-,6,,,POINT (-99.4267664729997 31.827243635000457),TEXAS,
NEBRASKA,2014,9,,-,0,,2,,1,,4,,,-,0,,2,,2,,,-,,-,0,,1,,,-,,-,,POINT (-99.36571864599966 41.64104043900045),NEBRASKA,
OREGON,2014,9,,-,0,,3,,2,,3,,2,,0,,4,,4,,5,,,-,0,,2,,2,,1,,,POINT (-120.15502977999972 44.567446178000466),OREGON,
DELAWARE,2014,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,3,,,,0,,0,,,,,,,POINT (-75.57773943699965 39.00883351400046),DELAWARE,
INDIANA,2014,9,,-,1,,2,,1,,2,,,-,2,,6,,11,,9,,,-,3,,8,,5,,12,,,POINT (-86.14995579899966 39.76691364600049),INDIANA,
ARKANSAS,2014,9,,-,0,,2,,,-,,-,,-,0,,3,,1,,10,,,-,0,,4,,1,,,-,,POINT (-92.27448794899965 34.748651751000466),ARKANSAS,
DIST. OF COL.,2014,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),DIST. OF COL.,
NEW JERSEY,2014,9,,-,0,,2,,2,,4,,,-,0,,3,,,-,10,,,-,0,,3,,1,,8,,,POINT (-74.27368565099965 40.1305700530005),NEW JERSEY,
NORTH CAROLINA,2014,9,2,,0,,4,,3,,11,,,-,0,,16,,5,,7,,,-,1,,15,,10,,4,,,POINT (-79.15924924699965 35.46622388600048),NORTH CAROLINA,
PENNSYLVANIA,2014,9,1,,1,,3,,3,,9,,1,,1,,4,,15,,13,,,-,1,,6,,10,,13,,,POINT (-77.86069775999965 40.79373106100047),PENNSYLVANIA,
ALASKA,2014,9,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507923900048),ALASKA,
NEW MEXICO,2014,9,,-,0,,2,,1,,1,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,POINT (-106.24057768899968 34.52088247800049),NEW MEXICO,
NEW YORK,2014,9,,-,1,,5,,2,,9,,1,,1,,3,,6,,5,,5,,2,,9,,13,,12,,,POINT (-75.54396639699968 42.82700023900048),NEW YORK,
UTAH,2014,9,,-,0,,2,,1,,1,,,-,0,,1,,,-,1,,,-,0,,1,,,-,2,,,POINT (-111.5871285339997 39.36070374600047),UTAH,
VERMONT,2014,9,,-,0,,2,,2,,1,,,-,0,,1,,1,,,-,,-,0,,1,,,-,1,,,POINT (-72.51763944499965 43.62538292400046),VERMONT,
TENNESSEE,2014,9,1,,0,,2,,3,,5,,3,,5,,11,,35,,46,,2,,2,,7,,11,,18,,,POINT (-85.77448642199965 35.680943063000484),TENNESSEE,
KENTUCKY,2014,9,,-,0,,2,,2,,7,,,-,4,,8,,12,,28,,,-,4,,10,,12,,44,,,POINT (-84.77496612599964 37.645973909000475),KENTUCKY,
MINNESOTA,2014,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-94.79419697699967 46.35564867700049),MINNESOTA,
ALABAMA,2014,9,,-,0,,2,,1,,,-,,-,1,,5,,16,,13,,,-,0,,5,,3,,1,,,POINT (-86.63185803899967 32.84057327200048),ALABAMA,
MISSISSIPPI,2014,9,,-,0,,1,,2,,1,,,-,0,,4,,3,,12,,,,0,,0,,,,,,,POINT (-89.53802764499966 32.74551123200047),MISSISSIPPI,
LOUISIANA,2014,9,,-,0,,1,,,-,5,,,-,1,,8,,5,,7,,,-,0,,2,,1,,3,,,POINT (-92.44567554599968 31.312662564000448),LOUISIANA,
FLORIDA,2014,9,1,,2,,7,,13,,6,,5,,6,,13,,46,,50,,,-,2,,7,,9,,20,,,POINT (-81.92895558499964 28.932042899000464),FLORIDA,
COLORADO,2014,9,,-,0,,8,,1,,5,,,-,0,,3,,,-,3,,,-,0,,2,,2,,2,,,POINT (-106.13360888799969 38.84384047000049),COLORADO,
WYOMING,2014,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-108.10982744299969 43.23554147100049),WYOMING,
AMER. SAMOA,2014,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),AMER. SAMOA,
MASSACHUSETTS,2014,9,,-,0,,3,,3,,6,,,-,1,,4,,2,,7,,,-,3,,7,,2,,33,,,POINT (-72.08268985899963 42.27687306500047),MASSACHUSETTS,
CALIFORNIA,2014,9,,-,4,,17,,13,,28,,,-,2,,6,,5,,24,,,-,1,,5,,1,,17,,,POINT (-120.99999889499969 37.638640488000476),CALIFORNIA,
NORTH DAKOTA,2014,9,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,POINT (-100.11842599699969 47.47531738700047),NORTH DAKOTA,
NEW YORK CITY,2014,9,2,,1,,7,,12,,11,,3,,1,,4,,10,,13,,1,,0,,1,,2,,1,,,POINT (-74.00596858999967 40.71426755700048),NEW YORK CITY,
VIRGINIA,2014,9,,-,0,,3,,4,,10,,,-,1,,5,,4,,13,,,-,1,,5,,5,,3,,,POINT (-78.45788924199968 37.54268075100049),VIRGINIA,
PUERTO RICO,2014,9,,-,0,,2,,1,,1,,,-,0,,6,,,-,7,,,N,0,,0,,,N,,N,,POINT (-98.34556876399967 26.649497232000442),PUERTO RICO,
NEW HAMPSHIRE,2014,9,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,N,0,,0,,,N,,N,,POINT (-71.50035726399966 43.6559537330005),NEW HAMPSHIRE,
KANSAS,2014,9,,-,0,,3,,,-,1,,,-,0,,3,,,-,1,,,-,0,,3,,2,,4,,,POINT (-98.20077655499966 38.34774033400049),KANSAS,
RHODE ISLAND,2014,9,,-,0,,1,,1,,,-,,,0,,0,,,,,,,,0,,0,,,,,,,POINT (-71.52246918099962 41.70828281900049),RHODE ISLAND,
CONNECTICUT,2014,9,,-,0,,3,,4,,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,POINT (-72.64983753699966 41.56266394200048),CONNECTICUT,
IDAHO,2014,9,,-,0,,2,,,-,,-,,-,0,,2,,,-,2,,,-,0,,2,,1,,1,,,POINT (-114.3637261449997 43.682630058000484),IDAHO,
OHIO,2014,9,,-,1,,4,,6,,16,,1,,4,,11,,44,,30,,2,,1,,24,,34,,6,,,POINT (-82.40425685299965 40.06021029700048),OHIO,
MONTANA,2014,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,POINT (-109.42441687999968 47.066526051000494),MONTANA,
ILLINOIS,2014,9,,-,1,,5,,4,,10,,,-,1,,6,,6,,17,,,-,0,,4,,1,,8,,,POINT (-88.99770813999965 40.48501278700047),ILLINOIS,
WISCONSIN,2014,9,,-,0,,3,,,-,5,,1,,0,,2,,2,,3,,,-,0,,3,,,-,8,,,POINT (-89.81636715299965 44.3931903350005),WISCONSIN,
GEORGIA,2014,9,1,,1,,3,,6,,13,,,-,2,,6,,14,,22,,,-,0,,3,,1,,6,,,POINT (-83.62757601199968 32.83968004200045),GEORGIA,
MICHIGAN,2014,9,,-,1,,7,,6,,23,,,-,1,,5,,4,,14,,,-,2,,7,,7,,13,,,POINT (-84.71438724399968 44.66131575600048),MICHIGAN,
MISSOURI,2014,9,,-,0,,2,,5,,1,,,-,1,,4,,6,,10,,,-,0,,4,,2,,4,,,POINT (-92.56629737199967 38.63579372300046),MISSOURI,
WEST VIRGINIA,2014,9,,-,0,,1,,1,,1,,1,,3,,8,,28,,29,,,-,0,,6,,2,,10,,,POINT (-80.71263935099967 38.665511497000466),WEST VIRGINIA,
MARYLAND,2014,9,,-,0,,4,,1,,3,,1,,1,,3,,3,,10,,,-,1,,3,,2,,15,,,POINT (-76.60925970899967 39.2905806980005),MARYLAND,
VIRGIN ISL.,2014,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),VIRGIN ISL.,
SOUTH CAROLINA,2014,9,,-,0,,1,,,-,2,,,-,1,,5,,4,,5,,,-,0,,0,,,-,,-,,POINT (-81.04536765699964 33.99882060100049),SOUTH CAROLINA,
NEVADA,2014,9,,-,0,,3,,1,,1,,,-,0,,3,,3,,4,,,-,0,,2,,,-,2,,,POINT (-117.07183978499972 39.49324126500045),NEVADA,
IOWA,2014,9,,-,0,,3,,1,,1,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,,POINT (-93.81648936699969 42.469404401000475),IOWA,
UNITED STATES,2014,10,9,,29,,56,,148,,256,,30,,55,,77,,368,,508,,6,,34,,55,,190,,324,,,,,
NEW ENGLAND,2014,10,,-,2,,6,,15,,13,,,-,1,,5,,5,,13,,,-,3,,8,,12,,38,,,,,
MID. ATLANTIC,2014,10,1,,3,,12,,20,,36,,1,,4,,10,,33,,44,,3,,4,,11,,33,,41,,,,,
E.N. CENTRAL,2014,10,,-,5,,12,,17,,60,,7,,9,,15,,83,,80,,,-,7,,30,,55,,50,,,,,
W.N. CENTRAL,2014,10,,-,1,,6,,8,,11,,,-,2,,5,,8,,17,,,-,0,,5,,5,,9,,,,,
S. ATLANTIC,2014,10,6,,5,,15,,37,,52,,18,,16,,26,,132,,153,,2,,6,,21,,33,,66,,,,,
E.S. CENTRAL,2014,10,,-,1,,4,,8,,14,,1,,12,,17,,68,,108,,1,,6,,14,,27,,72,,,,,
W.S. CENTRAL,2014,10,1,,3,,8,,16,,15,,1,,5,,13,,19,,40,,,-,2,,9,,8,,12,,,,,
MOUNTAIN,2014,10,,-,2,,16,,7,,15,,,-,1,,4,,4,,18,,,-,1,,5,,5,,11,,,,,
PACIFIC,2014,10,1,,6,,18,,20,,40,,2,,3,,12,,16,,35,,,-,2,,7,,12,,25,,,,,
MINNESOTA,2014,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-94.79419697699967 46.35564867700049),MINNESOTA,
MISSISSIPPI,2014,10,,-,0,,1,,2,,1,,,-,0,,4,,3,,13,,,,0,,0,,,,,,,POINT (-89.53802764499966 32.74551123200047),MISSISSIPPI,
VIRGIN ISL.,2014,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),VIRGIN ISL.,
NORTH DAKOTA,2014,10,,-,0,,2,,1,,2,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,POINT (-100.11842599699969 47.47531738700047),NORTH DAKOTA,
NEW HAMPSHIRE,2014,10,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,,N,0,,0,,,N,,N,,POINT (-71.50035726399966 43.6559537330005),NEW HAMPSHIRE,
DELAWARE,2014,10,,-,0,,1,,,-,1,,,-,0,,1,,,-,3,,,,0,,0,,,,,,,POINT (-75.57773943699965 39.00883351400046),DELAWARE,
VIRGINIA,2014,10,,-,0,,3,,4,,10,,,-,1,,5,,4,,14,,,-,0,,5,,5,,4,,,POINT (-78.45788924199968 37.54268075100049),VIRGINIA,
AMER. SAMOA,2014,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),AMER. SAMOA,
GUAM,2014,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (144.70297250000056 13.355173397000442),GUAM,
NEVADA,2014,10,,-,0,,3,,1,,1,,,-,0,,3,,3,,4,,,-,0,,2,,1,,2,,,POINT (-117.07183978499972 39.49324126500045),NEVADA,
